	0
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.Omni.heat.1week.II')	2.028311480812319
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.RNA.4C.4weeks.II')	1.64378649295294
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.RNA.amb.4weeks.II')	1.5601259803875935
('10394.H1.95etoh.freezethaw.1week.II', '10394.H1.RNA.freezethaw.1week.II')	2.388831186185129
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.70etoh.4C.4weeks.II')	6.407422922065064
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.70etoh.amb.4weeks.II')	3.5460524861479437
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.70etoh.freezethaw.1week.II')	4.0217711632319375
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.95etoh.4C.4weeks.II')	5.789535420958266
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.95etoh.amb.4weeks.II')	3.759092315709958
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.95etoh.freezethaw.1week.II')	6.297837004746817
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.FTA.4C.1week.II')	3.777598537722653
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.FTA.4C.4weeks.II')	3.8146764324053724
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.FTA.amb.1week.II')	3.677375333908812
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.FTA.amb.4weeks.II')	3.517051233491743
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.FTA.heat.1week.II')	3.7797552377850807
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.None.4C.1week.II')	6.408280696604592
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.None.4C.4weeks.II')	3.927532117229007
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.None.amb.4weeks.II')	4.558691576260326
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.None.freezethaw.1week.II')	8.636901229684565
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.Omni.4C.1week.II')	6.621938972585687
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.Omni.4C.4weeks.II')	3.3837214332409706
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.Omni.amb.1week.II')	3.4693962491832573
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.Omni.amb.4weeks.II')	6.1761275279908725
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.Omni.freezethaw.1week.II')	3.744628136128769
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.Omni.heat.1week.II')	3.4633026582709188
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.RNA.4C.4weeks.II')	3.766484059065629
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.RNA.amb.4weeks.II')	3.6695381807504965
('10394.H1.95etoh.freezethaw.1week.II', '10394.H10.RNA.freezethaw.1week.II')	3.6841885949024533
('10394.H1.FTA.4C.1week.II', '10394.H1.FTA.4C.4weeks.II')	2.1114560545504064
